# feature1,feature2,class,predicted_class
0,1,0,0
0,0,0,0
1,1,1,1
0,0,1,0
0,1,0,0
1,0,1,1
0,1,0,0
1,0,1,1
0,0,1,0
0,0,1,0
0,0,0,0
1,0,1,1
0,0,0,0
1,0,1,1
1,1,1,1
0,1,0,0
0,0,1,0
0,1,0,0
0,0,0,0
1,0,1,1
1,0,1,1
1,0,0,1
1,0,1,1
1,1,1,1
1,0,1,1
1,0,1,1
0,0,0,0
1,0,1,1
0,0,1,0
0,1,0,0
0,0,0,0
0,1,0,0
1,0,1,1
0,1,0,0
1,0,1,1
1,0,1,1
1,1,1,1
0,0,1,0
1,0,1,1
1,0,1,1
1,0,1,1
0,0,0,0
1,1,1,1
1,0,1,1
1,1,1,1
1,0,1,1
0,0,0,0
1,1,0,1
1,1,0,1
0,1,0,0
1,1,0,1
1,1,1,1
0,1,0,0
0,0,1,0
0,1,0,0
1,0,1,1
0,1,0,0
1,1,0,1
0,1,0,0
0,0,1,0
0,0,0,0
1,1,0,1
0,1,0,0
0,1,0,0
1,1,0,1
0,0,0,0
0,1,0,0
0,1,0,0
1,1,1,1
0,1,0,0
1,0,1,1
0,0,1,0
1,1,0,1
1,1,1,1
0,1,0,0
1,1,0,1
0,0,1,0
0,1,0,0
0,0,1,0
1,1,0,1
1,0,1,1
0,1,0,0
0,0,0,0
1,1,1,1
0,1,0,0
0,1,0,0
0,1,0,0
0,0,1,0
1,1,1,1
1,0,1,1
0,1,0,0
0,1,0,0
0,1,1,0
1,0,1,1
0,0,1,0
1,1,0,1
0,0,0,0
1,0,1,1
0,1,0,0
1,0,1,1
1,0,1,1
1,0,0,1
0,0,1,0
1,1,0,1
0,1,0,0
0,1,0,0
1,1,1,1
0,1,0,0
0,1,0,0
0,0,1,0
0,1,0,0
0,1,0,0
0,0,0,0
0,0,1,0
1,0,1,1
1,0,1,1
1,0,1,1
0,0,0,0
1,1,1,1
0,1,0,0
1,0,1,1
0,1,0,0
1,0,1,1
0,0,0,0
1,0,1,1
1,0,1,1
1,1,1,1
0,1,0,0
0,1,0,0
0,1,1,0
1,0,1,1
1,0,1,1
0,0,0,0
1,1,0,1
0,1,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,0,1,0
1,0,1,1
0,0,1,0
1,0,1,1
0,1,0,0
0,1,1,0
1,1,1,1
0,1,1,0
0,0,0,0
1,1,1,1
1,1,0,1
1,0,1,1
1,0,1,1
1,1,1,1
1,0,1,1
0,0,1,0
1,1,1,1
0,1,0,0
1,0,1,1
1,1,1,1
0,1,0,0
1,0,1,1
1,1,0,1
0,0,0,0
0,1,0,0
1,1,1,1
0,1,0,0
0,1,0,0
1,0,1,1
1,1,0,1
0,1,1,0
0,1,0,0
0,0,1,0
0,1,0,0
1,1,1,1
0,1,0,0
0,1,0,0
1,0,1,1
1,0,1,1
0,0,1,0
0,1,0,0
1,0,1,1
0,1,0,0
1,1,1,1
1,0,1,1
1,0,1,1
0,1,0,0
1,1,0,1
0,0,0,0
1,0,1,1
1,0,1,1
0,1,0,0
0,1,0,0
0,0,1,0
1,0,1,1
0,1,0,0
1,0,1,1
0,1,0,0
0,0,0,0
0,1,0,0
1,0,1,1
1,1,1,1
0,0,1,0
1,1,1,1
1,1,0,1
1,1,0,1
0,1,0,0
1,0,1,1
1,1,0,1
1,1,1,1
0,0,1,0
0,1,1,0
0,0,1,0
0,1,0,0
1,0,1,1
0,1,0,0
0,1,0,0
0,0,1,0
1,0,1,1
0,0,1,0
1,1,1,1
0,1,0,0
0,1,0,0
1,0,1,1
0,0,0,0
1,0,1,1
0,1,0,0
1,1,1,1
0,1,0,0
1,1,1,1
1,0,1,1
0,1,0,0
0,0,0,0
1,1,0,1
0,0,1,0
0,1,0,0
0,1,0,0
1,1,1,1
0,1,0,0
0,1,0,0
0,0,0,0
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,0,0,0
0,1,0,0
1,0,1,1
1,1,1,1
1,0,1,1
0,1,0,0
0,1,0,0
1,1,1,1
1,1,1,1
1,0,1,1
0,1,0,0
1,0,1,1
1,1,0,1
0,1,0,0
0,1,0,0
0,1,0,0
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,1,0,0
0,0,0,0
1,0,1,1
0,0,1,0
1,0,1,1
1,0,1,1
0,0,1,0
0,0,1,0
1,0,0,1
0,1,0,0
0,1,0,0
1,1,0,1
0,0,1,0
0,1,0,0
0,0,1,0
1,0,1,1
1,1,0,1
0,1,0,0
0,1,0,0
1,0,1,1
1,0,1,1
0,1,0,0
1,0,1,1
0,0,0,0
1,0,1,1
0,0,1,0
0,1,0,0
1,0,1,1
0,1,0,0
1,1,0,1
1,0,1,1
1,1,0,1
0,1,0,0
0,1,0,0
1,0,1,1
0,1,0,0
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,1,0,0
1,0,1,1
0,1,0,0
1,1,0,1
1,0,1,1
0,1,0,0
0,0,0,0
0,1,0,0
0,1,1,0
0,1,0,0
1,0,1,1
1,0,1,1
0,0,1,0
0,0,1,0
1,0,1,1
1,0,1,1
0,1,0,0
1,0,1,1
1,0,1,1
0,1,0,0
0,1,0,0
1,0,1,1
1,1,1,1
0,0,0,0
1,0,1,1
1,0,1,1
0,0,0,0
0,0,1,0
0,1,0,0
1,0,1,1
0,1,0,0
1,0,1,1
1,0,1,1
0,0,1,0
1,1,0,1
0,1,0,0
1,0,1,1
0,1,1,0
1,0,0,1
1,0,1,1
0,0,0,0
0,1,1,0
1,1,1,1
0,1,0,0
0,1,0,0
1,0,1,1
1,0,1,1
1,1,1,1
1,0,1,1
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,1,1
0,1,0,0
1,0,1,1
1,0,1,1
0,1,0,0
0,0,0,0
1,1,1,1
0,1,0,0
0,1,0,0
1,0,1,1
1,0,1,1
1,1,0,1
0,1,0,0
0,1,0,0
1,1,1,1
1,1,1,1
0,1,0,0
0,1,0,0
1,1,0,1
1,1,0,1
0,1,0,0
0,0,1,0
0,1,0,0
1,0,1,1
1,0,1,1
1,0,1,1
0,0,1,0
1,0,1,1
1,1,0,1
1,0,1,1
0,1,0,0
0,1,0,0
1,1,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,1,1,0
1,0,1,1
0,1,0,0
1,1,0,1
0,1,0,0
1,1,1,1
1,0,1,1
